SCOC	Intra-Golgi and retrograde Golgi-to-ER traffic(R)
PGLYRP3	Antimicrobial peptides(R)
TFRC	HIF-1-alpha transcription factor network(N)
TFRC	Clathrin-mediated endocytosis(R)
TFRC	FOXA2 and FOXA3 transcription factor networks(N)
TFRC	Iron uptake and transport(R)
TFRC	Validated targets of C-MYC transcriptional activation(N)
SCT	GPCR downstream signaling(R)
SCT	GPCR ligand binding(R)
HTR4	GPCR downstream signaling(R)
HTR4	GPCR ligand binding(R)
HTR4	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)
CRHBP	GPCR ligand binding(R)
HTR6	GPCR downstream signaling(R)
HTR6	GPCR ligand binding(R)
HTR6	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)
HTR7	GPCR downstream signaling(R)
HTR7	GPCR ligand binding(R)
HTR7	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)
SCP2	Peroxisomal lipid metabolism(R)
SCP2	Bile acid and bile salt metabolism(R)
SCP2	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism(R)
CAPNS1	Keratinization(R)
CAPNS1	Extracellular matrix organization(R)
CAPNS1	Huntington disease(P)
CAPNS2	Extracellular matrix organization(R)
PRKACG	DAG and IP3 signaling(R)
PRKACG	Vasopressin regulates renal water homeostasis via Aquaporins(R)
PRKACG	Signaling by EGFR(R)
PRKACG	Metabolism of carbohydrates(R)
PRKACG	Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction(P)
PRKACG	Glucocorticoid receptor regulatory network(N)
PRKACG	Signalling by NGF(R)
PRKACG	MAPK6/MAPK4 signaling(R)
PRKACG	Metabotropic glutamate receptor group II pathway(P)
PRKACG	C-type lectin receptors (CLRs)(R)
PRKACG	Lipid digestion, mobilization, and transport(R)
PRKACG	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)
PRKACG	Hedgehog 'off' state(R)
PRKACG	Signaling by PDGF(R)
PRKACG	DAP12 interactions(R)
PRKACG	Integration of energy metabolism(R)
PRKACG	IL3-mediated signaling events(N)
PRKACG	GMCSF-mediated signaling events(N)
PRKACG	Rap1 signalling(R)
PRKACG	Opioid Signalling(R)
PRKACG	Factors involved in megakaryocyte development and platelet production(R)
PRKACA	Vasopressin regulates renal water homeostasis via Aquaporins(R)
PRKACA	LPA4-mediated signaling events(N)
PRKACA	Aurora A signaling(N)
PRKACA	Calcium signaling in the CD4+ TCR pathway(N)
PRKACA	Metabolism of carbohydrates(R)
PRKACA	Signaling events regulated by Ret tyrosine kinase(N)
PRKACA	Signaling by Interleukins(R)
PRKACA	SHP2 signaling(N)
PRKACA	Mitotic G2-G2/M phases(R)
PRKACA	Syndecan-2-mediated signaling events(N)
PRKACA	Glucocorticoid receptor regulatory network(N)
PRKACA	LKB1 signaling events(N)
PRKACA	Signalling by NGF(R)
PRKACA	ErbB2/ErbB3 signaling events(N)
PRKACA	C-type lectin receptors (CLRs)(R)
PRKACA	Alpha4 beta1 integrin signaling events(N)
PRKACA	Lipid digestion, mobilization, and transport(R)
PRKACA	Hedgehog signaling events mediated by Gli proteins(N)
PRKACA	Class I PI3K signaling events mediated by Akt(N)
PRKACA	Signaling by PDGF(R)
PRKACA	VEGFR1 specific signals(N)
PRKACA	Syndecan-1-mediated signaling events(N)
