Interaction,Gene 1, Gene 2,Mechismo Score
HIST1H2BH	H2AFJ,HIST1H2BH,H2AFJ,2.743030
SMAD6	SMAD1,SMAD6,SMAD1,1.600000
TUBB2A	TUBA3E,TUBB2A,TUBA3E,4.330000
EFNA2	EPHA8,EFNA2,EPHA8,1.880000
KRT36	KRT83,KRT36,KRT83,1.830000
KRT36	KRT85,KRT36,KRT85,1.660000
HLA-C	LILRA2,HLA-C,LILRA2,1.710000
UBE2D2	UBE3C,UBE2D2,UBE3C,1.040000
HLA-B	B2M,HLA-B,B2M,3.657490
UBE2D1	UBE3C,UBE2D1,UBE3C,1.040000
GRIK3	GRIK4,GRIK3,GRIK4,1.680000
LDLR	PCSK9,LDLR,PCSK9,2.927910
TUBA1A	TUBB2B,TUBA1A,TUBB2B,3.110000
EGFR	EGF,EGFR,EGF,1.960000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
RGS12	GNAI3,RGS12,GNAI3,3.960000
ARHGDIA	RHOG,ARHGDIA,RHOG,1.600000
GNB3	GNG5,GNB3,GNG5,1.630000
GNB3	GNG3,GNB3,GNG3,3.240000
IL18BP	IL18,IL18BP,IL18,1.090000
LILRA1	HLA-A,LILRA1,HLA-A,3.130000
LILRA1	HLA-A,LILRA1,HLA-A,3.130000
GNB3	GNGT1,GNB3,GNGT1,3.240000
GNA15	RGS2,GNA15,RGS2,1.260000
WIPF1	ACTB,WIPF1,ACTB,1.170000
UBC	SNX18,UBC,SNX18,3.376720
GRB2	SHC2,GRB2,SHC2,2.320000
YAP1	TEAD2,YAP1,TEAD2,1.560000
RAB5B	RIN1,RAB5B,RIN1,1.900000
HLA-A	LILRB2,HLA-A,LILRB2,1.680000
JAK2	RAF1,JAK2,RAF1,5.580000
HIST3H2BB	HIST1H2AJ,HIST3H2BB,HIST1H2AJ,1.070000
LYN	PIK3R1,LYN,PIK3R1,4.329580
JAK2	PTPN6,JAK2,PTPN6,3.250000
JAK2	KIT,JAK2,KIT,2.500000
MAPK3	RPS6KA2,MAPK3,RPS6KA2,4.130000
FKBP1A	PPP3CA,FKBP1A,PPP3CA,3.090000
UBA52	UBE3A,UBA52,UBE3A,1.440000
H2AFX	HIST1H2AD,H2AFX,HIST1H2AD,2.743030
CDC27	CDC26,CDC27,CDC26,1.060000
RPS27A	POLI,RPS27A,POLI,1.120000
HLA-B	LILRA2,HLA-B,LILRA2,1.710000
CDC42	ARHGAP24,CDC42,ARHGAP24,1.850000
UBC	HECW1,UBC,HECW1,1.070000
UBC	USP9X,UBC,USP9X,3.473600
UBC	USP7,UBC,USP7,1.770000
GDI1	CDC42,GDI1,CDC42,6.460000
