Interaction,Gene1 Name,Gene1 Interface Length,Gene1 Length,Gene1 Interface Mutation Count,Gene1 Mutation Count,Gene2 Name,Gene2 Interface Length,Gene2 Length,Gene2 Interface Mutation Count,Gene2 Mutation Count,P Value
HLA-A	IRS2,HLA-A,32,275,3,8,IRS2,9,9,0,7,0.371122
C1S	C1S,C1S,30,155,1,18,C1S,30,155,1,18,0.995823
RAB11A	RAB3IP,RAB11A,13,173,1,16,RAB3IP,20,169,1,9,0.709622
PLAU	PLAUR,PLAU,19,122,0,0,PLAUR,35,249,2,3,0.057389
SSB	PUF60,SSB,19,66,1,18,PUF60,18,71,0,0,0.996540
TSG101	TSG101,TSG101,29,78,3,38,TSG101,29,78,3,38,1.000000
MAPK8	MAPK8,MAPK8,20,344,4,19,MAPK8,20,344,4,19,0.001322
RANBP2	RAN,RANBP2,44,139,0,2,RAN,47,179,2,11,0.922379
CTLA4	CD80,CTLA4,15,118,1,7,CD80,17,199,0,0,0.525213
RAB3IL1	RAB3IL1,RAB3IL1,33,69,3,18,RAB3IL1,33,69,3,18,0.999980
GNAI1	GNAI1,GNAI1,4,299,1,29,GNAI1,4,299,1,29,0.182031
C1QC	C1QC,C1QC,24,129,1,32,C1QC,24,129,1,32,0.999970
FBXW4	SKP1,FBXW4,26,41,0,20,SKP1,32,75,1,9,1.000000
CTLA4	CD86,CTLA4,13,111,1,7,CD86,19,109,4,40,0.832922
DPP4	DPP4,DPP4,60,728,1,7,DPP4,60,728,1,7,0.322895
CASP3	CASP3,CASP3,10,146,1,17,CASP3,10,146,1,17,0.686387
CD4	LCK,CD4,11,38,0,2,LCK,12,29,3,14,0.949549
CASP3	CASP9,CASP3,9,147,1,17,CASP9,12,148,0,27,0.961198
NRP1	VEGFA,NRP1,24,215,0,8,VEGFA,14,217,2,16,0.636297
CASP3	CASP6,CASP3,37,240,1,17,CASP6,35,269,5,16,0.321075
CFTR	YWHAZ,CFTR,11,19,0,1,YWHAZ,32,229,3,18,0.664291
KHDRBS2	KHDRBS2,KHDRBS2,50,158,2,3,KHDRBS2,50,158,2,3,0.084308
COL9A3	COL9A2,COL9A3,49,72,0,9,COL9A2,50,71,3,26,1.000000
MAP2K3	LRRK2,MAP2K3,23,144,7,62,LRRK2,28,245,0,0,0.719817
NCF2	RAC1,NCF2,16,185,2,51,RAC1,17,178,21,42,0.000007
CFTR	YWHAG,CFTR,6,11,0,1,YWHAG,20,238,2,16,0.542585
HIST1H2BJ	H2AFV,HIST1H2BJ,57,94,7,18,H2AFV,59,107,7,21,0.998159
KIT	PTK6,KIT,18,367,0,3,PTK6,35,264,2,18,0.536464
COPZ2	COPG1,COPZ2,44,140,2,8,COPG1,51,292,2,41,0.997296
TBP	BRF2,TBP,43,178,3,29,BRF2,52,302,1,7,0.944579
MET	PTPN1,MET,12,252,0,9,PTPN1,17,291,1,23,0.827327
IKBKB	AKT1,IKBKB,47,276,0,4,AKT1,39,258,1,37,0.999253
MAPK1	DAPK1,MAPK1,13,358,3,34,DAPK1,15,101,0,30,0.756677
ACTR8	ACTR8,ACTR8,32,502,1,33,ACTR8,32,502,1,33,0.928900
CDC20	CDC23,CDC20,28,370,0,28,CDC23,45,524,1,26,0.989947
CALM2	MYO6,CALM2,59,145,3,10,MYO6,36,812,4,19,0.020840
ACTR8	ACTR5,ACTR8,32,572,4,33,ACTR5,25,538,3,38,0.071836
UBE2K	MDM2,UBE2K,14,140,1,10,MDM2,13,48,1,18,0.925827
TAF2	TAF8,TAF2,18,914,0,1,TAF8,14,27,1,15,0.425105
EGFR	TGFA,EGFR,43,499,0,7,TGFA,31,49,2,14,0.796651
EGFR	CSK,EGFR,7,257,0,7,CSK,7,254,1,22,0.553184
RHOD	DIAPH1,RHOD,27,173,8,15,DIAPH1,43,361,2,12,0.001496
RAD51	RAD51,RAD51,46,313,2,24,RAD51,46,313,2,24,0.936270
CTTN	ASAP1,CTTN,11,66,0,47,ASAP1,8,9,2,12,0.999999
MSH2	MSH6,MSH2,78,831,2,22,MSH6,89,930,0,3,0.700197
DCTN6	DCTN6,DCTN6,34,141,1,14,DCTN6,34,141,1,14,0.995634
GRB2	PTPN11,GRB2,25,99,2,23,PTPN11,25,81,0,1,0.995850
BCL9	PYGO2,BCL9,15,32,0,15,PYGO2,18,56,1,34,1.000000
EGFR	YES1,EGFR,6,257,0,7,YES1,11,263,2,42,0.478918
BID	BAK1,BID,17,22,2,15,BAK1,24,169,0,4,0.937191
CAPN13	CAPN13,CAPN13,51,157,2,9,CAPN13,51,157,2,9,0.884462
KRT71	KRT40,KRT71,51,104,8,58,KRT40,48,101,1,14,1.000000
UBC	UBQLN1,UBC,17,76,0,2,UBQLN1,11,52,1,10,0.948301
TNFRSF8	TRAF3,TNFRSF8,8,8,0,8,TRAF3,26,167,1,19,0.997070
TNFRSF8	TRAF1,TNFRSF8,8,8,0,8,TRAF1,22,167,1,32,0.999459
TNFRSF8	TRAF2,TNFRSF8,8,8,0,8,TRAF2,22,168,1,3,0.871991
APP	PRSS3,APP,13,54,0,10,PRSS3,32,224,1,30,0.999144
CDCA8	CDCA8,CDCA8,32,57,2,17,CDCA8,32,57,2,17,1.000000
